Index,Time,Motor.Angle,pida.setpoint,Aref2
473,4.737485,6.24627829,6.28318501,-3.2142334
474,4.747485,6.24673557,6.28318501,-3.36346865
475,4.757483,6.24721527,6.28318501,-3.50429654
476,4.767490,6.24769068,6.28318501,-3.63636518
477,4.777485,6.24813175,6.28318501,-3.75933981
478,4.787484,6.2485981,6.28318501,-3.87291431
479,4.797484,6.24902964,6.28318501,-3.97682071
480,4.807484,6.24948072,6.28318501,-4.07077599
481,4.817488,6.24992371,6.28318501,-4.15456009
482,4.827485,6.25032806,6.28318501,-4.22796059
483,4.837485,6.25077534,6.28318501,-4.2907896
484,4.847484,6.25117016,6.28318501,-4.34290075
485,4.857499,6.25162363,6.28318501,-4.38415527
486,4.867485,6.25202179,6.28318501,-4.41445255
487,4.877475,6.25245667,6.28318501,-4.43371534
488,4.887483,6.25285006,6.28318501,-4.44189644
489,4.897485,6.25325537,6.28318501,-4.43897581
490,4.907484,6.25364828,6.28318501,-4.42496061
491,4.917490,6.25405025,6.28318501,-4.39988518
492,4.927490,6.25443888,6.28318501,-4.36381006
493,4.937484,6.25480509,6.28318501,-4.31682825
494,4.947471,6.25519037,6.28318501,-4.259058
495,4.957484,6.25554752,6.28318501,-4.19064045
496,4.967490,6.25592327,6.28318501,-4.11174774
497,4.977485,6.25630045,6.28318501,-4.02257729
498,4.987484,6.25665998,6.28318501,-3.92335606
499,4.997484,6.25702286,6.28318501,-3.8143332
500,5.007490,6.25736761,6.28318501,-3.69577742
501,5.017489,6.25774288,6.28318501,-3.56798005
502,5.027484,6.25806761,6.28318501,-3.43127036
503,5.037491,6.25844479,6.28318501,-3.28597379
504,5.047490,6.25875521,6.28318501,-3.13246346
505,5.057486,6.25912094,6.28318501,-2.97113585
506,5.067490,6.25942612,6.28318501,-2.80236983
507,5.077490,6.25976992,6.28318501,-2.62659192
508,5.087489,6.26010656,6.28318501,-2.44425535
509,5.097485,6.26041937,6.28318501,-2.25581622
510,5.107484,6.26075697,6.28318501,-2.06173921
511,5.117490,6.26104021,6.28318501,-1.86250889
512,5.127486,6.2613821,6.28318501,-1.65859985
513,5.137486,6.26168442,6.28318501,-1.45056033
514,5.147485,6.26199293,6.28318501,-1.2389195
515,5.157489,6.26231909,6.28318501,-1.02415776
516,5.167484,6.26258802,6.28318501,-0.806844413
517,5.177484,6.26291275,6.28318501,-0.587506056
518,5.187470,6.26319456,6.28318501,-0.366699159
519,5.197489,6.26348066,6.28318501,-0.144984141
520,5.207475,6.26380396,6.28318501,0.0770847946
521,5.217483,6.26405096,6.28318501,0.298969537
522,5.227489,6.26434612,6.28318501,0.520115435
523,5.237484,6.26462555,6.28318501,0.739961267
524,5.247489,6.26487446,6.28318501,0.957949221
525,5.257491,6.26517344,6.28318501,1.17355096
526,5.267485,6.26542521,6.28318501,1.38621938
527,5.277490,6.26567745,6.28318501,1.595415
528,5.287485,6.26597548,6.28318501,1.80062294
529,5.297490,6.26622438,6.28318501,2.00132275
530,5.307490,6.26647234,6.28318501,2.1970284
531,5.317490,6.26676178,6.28318501,2.38724256
532,5.327484,6.26697779,6.28318501,2.5714972
533,5.337486,6.26721954,6.28318501,2.74932384
534,5.347490,6.26750231,6.28318501,2.92026567
535,5.357485,6.26773357,6.28318501,3.08391523
536,5.367485,6.2679615,6.28318501,3.23986268
537,5.377484,6.26823044,6.28318501,3.38771176
538,5.387485,6.26844692,6.28318501,3.52708793
539,5.397491,6.26865816,6.28318501,3.65765309
